      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 19   00:08:22   985      0   00:13:50  1052      0
 18   00:11:26   985      0   00:19:51  1232      0
 17   00:39:28  2900      0   03:20:16  2872      0
 16   00:11:08   564      0   00:25:04   495      0
 15   00:27:29  1846      0   01:05:03  1252      0
 14   00:32:33  3797      0   01:06:52  3170      0
 13   00:14:26  1185      0   01:22:27  3946      0
 12   00:14:06  1243      0   00:43:58  1182      0
 11   00:12:41  3270      0   00:32:34  2619      0
 10   00:08:51   847      0   00:16:01  1427      0
  9   00:16:19  1338      0   00:43:16  1439      0
  8   00:12:26  1123      0   00:16:09   772      0
  7   00:07:00   807      0   00:09:25   656      0
  6   00:18:29  3239      0   00:51:22  3361      0
  5   00:19:24  3894      0   00:26:33  2529      0
  4   00:06:49   910      0   00:12:31   646      0
  3   00:12:49  5513      0   00:24:34  4719      0
  2   00:09:58  2652      0   00:17:03  2220      0
  1   00:03:41  1149      0   00:05:23   895      0
